date,station,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESF,inclement_weather
2018-01-01,Unknown,0.0,0.0,-inf,-6.3500000000000005,-15.0,-12.75,,
2018-01-02,GHCND:USC00280907,0.0,0.0,-inf,-8.3,-16.1,-12.2,,False
2018-01-03,GHCND:USC00280907,0.0,0.0,-inf,-4.4,-13.9,-13.3,,False
2018-01-04,Unknown,20.6,229.0,inf,-5.180000000000001,-14.34,-13.2,19.3,True
2018-01-05,Unknown,0.3,0.0,,-6.980000000000001,-14.9,-14.319999999999999,,
2018-01-06,GHCND:USC00280907,0.0,0.0,-inf,-10.0,-15.6,-15.0,,False
2018-01-07,GHCND:USC00280907,0.0,0.0,-inf,-11.7,-17.2,-16.1,,False
2018-01-08,Unknown,0.0,0.0,-inf,-4.083333333333333,-13.166666666666666,-10.0,,
2018-01-10,Unknown,0.0,0.0,-inf,-0.13999999999999985,-9.779999999999998,-4.660000000000001,,
2018-01-11,GHCND:USC00280907,0.0,0.0,-inf,4.4,-7.8,1.1,,False
2018-01-12,GHCND:USC00280907,1.3,0.0,-inf,9.4,0.6,7.8,,False
2018-01-13,Unknown,17.5,0.0,,5.800000000000001,-5.25,-1.65,,
2018-01-14,GHCND:USC00280907,0.0,0.0,-inf,2.2,-11.1,-11.1,,False
2018-01-15,GHCND:USC00280907,0.0,0.0,-inf,-5.0,-11.7,-8.9,,False
2018-01-16,GHCND:USC00280907,0.0,0.0,-inf,-1.1,-9.4,-4.4,,False
2018-01-17,Unknown,4.8,0.0,,-0.4750000000000001,-9.225,-5.825,,
2018-01-18,GHCND:USC00280907,1.3,13.0,inf,0.0,-11.1,-8.9,,True
2018-01-19,GHCND:USC00280907,0.0,0.0,-inf,-1.1,-11.7,-10.6,,False
2018-01-20,GHCND:USC00280907,0.0,0.0,-inf,2.8,-11.7,0.0,,False
2018-01-21,Unknown,0.0,0.0,-inf,3.56,-7.239999999999999,-3.6799999999999997,,
2018-01-22,Unknown,0.3,0.0,,6.44,-4.24,-0.6799999999999999,,
2018-01-23,GHCND:USC00280907,18.0,0.0,-inf,8.9,2.2,5.0,,False
2018-01-24,GHCND:USC00280907,3.3,0.0,-inf,13.3,3.3,4.4,,False
2018-01-25,Unknown,0.0,0.0,-inf,6.65,-2.0999999999999996,-0.2749999999999999,,
2018-01-26,GHCND:USC00280907,0.0,0.0,-inf,0.0,-7.2,-6.1,,False
2018-01-27,Unknown,0.0,0.0,-inf,6.659999999999999,-5.12,-0.22000000000000003,,
2018-01-28,GHCND:USC00280907,1.5,0.0,-inf,11.1,-5.0,5.0,,False
2018-01-30,Unknown,1.5,13.0,inf,8.46,-6.34,-1.6800000000000002,1.8,True
2018-01-31,GHCND:USC00280907,0.0,0.0,-inf,6.7,-10.0,-8.9,,False
